compl_total1,compl_total2,compl_total3,compl_total4,compl_total5,compl_total6,compl_total7,compl_total8,compl_total9,compl_total10,compl_total11,compl_total12,compl_total13,compl_total14,compl_total15,compl_total16,compl_total17,compl_total18,compl_total19,compl_total20,compl_total21,compl_total22,compl_total23,compl_total24,compl_total25,compl_total26,compl_total27,compl_total28,compl_total29,compl_total30,compl_total31,compl_total32,compl_total33,compl_total34,compl_total35,compl_total36,compl_total37,compl_total38,compl_total39,compl_total40,compl_total41,compl_total42,compl_total43,compl_total44,compl_total45_1,compl_total45_2,compl_total45_3,compl_total45_4,compl_total45_5,compl_total45_6,compl_total45_7,compl_total45_8,compl_total46_1,compl_total46_2,compl_total46_3,compl_total46_4,compl_total47,compl_total48,compl_total49,compl_total50
13,0.128333333333333,8,18.7680555555556,1,0.00847457627118644,0.00591105645257269,,0,0,0,,0.428248171428571,0.122177894380159,8,4.06416666666667,1,0.0344444444444444,1,0.124385245901638,22.6524252,,0.128333333333333,65.3055555555555,26.1388888888889,5.22222222222222,0.944444444444444,2.38888888888889,,85.8055555555556,10.75,3.44444444444444,0,0,,100,0,0,0,0,,0.616020870252147,0.312800925925926,,241,601,841,1041,1441,1841,2201,2481,282,562,962,1222,0,0,1,
13,0.195,9,18.9527777777778,1,0.0259371833839919,0.015948281562,,0,0,0,,0.454764285714286,0.13880450645204,9,4.11222222222222,1,0.106666666666667,1,0.191051912568307,22.2409727,,0.195,61.3611111111111,20.3333333333333,6.02777777777778,2.83333333333333,9.44444444444444,,78.9722222222222,10.3611111111111,10.6666666666667,0,0,,100,0,0,0,0,,0.847100149798858,0.31587962962963,,221,561,761,981,1321,1681,2081,2441,401,621,1001,1341,0,0,1,
13,0.139166666666667,7,18.8602564102564,1,0.00679763442322072,0.00475397045794157,,0,0.142857142857143,0.0251913265306122,,0.429068571428571,0.120776617609495,7,4.08638888888889,1,0.0277777777777778,1,0.131598360655737,22.3493306,,0.139166666666667,64.1388888888889,25.4166666666667,7.47222222222222,0.555555555555556,2.41666666666667,,88.1944444444444,9.22222222222222,2.58333333333333,0,0,,100,0,0,0,0,,0.644254999001292,0.314337606837607,,282,622,842,1242,1542,1822,2062,2342,342,702,942,1342,0,0,1,
13,0.0991666666666667,7,18.6583333333333,1,0.000488417527211834,0.000485976117745071,,0,0,0,,0.352587523809524,0.113812352068928,7,3.98083333333333,1,0.00194444444444444,0.557377049180328,0.0943306010928959,22.7226261,,0.0991666666666667,73.25,19,5.25,2.5,0,,95.8333333333333,3.97222222222222,0.194444444444444,0,0,,100,0,0,0,0,,0.261047781362327,0.310972222222222,,262,542,922,1302,1542,1922,2302,2702,241,561,961,1321,0,0,1,
13,0.392222222222222,9,19.9025641025641,2,0.0793609894357124,0.0951309821345928,,0,0,0,,0.62420684303351,0.20371466520544,9,4.31222222222222,2,0.389166666666667,1,0.388274134790531,22.123257,,0.392222222222222,39.9166666666667,19.2777777777778,7.97222222222222,3.33333333333333,29.5,,51.6666666666667,23.5277777777778,22.0833333333333,2.72222222222222,0,,100,0,0,0,0,,0.768103677637761,0.331709401709402,,281,481,801,1081,1281,1501,1801,2041,202,602,962,1162,0,0,1,
13,0.326944444444444,9,19.8205128205128,2,0.0703104786545925,0.0688109123127175,,0,0,0,,0.673294085714286,0.19280997173372,9,4.29444444444444,2,0.340277777777778,1,0.321370673952642,24.3125707,,0.326944444444444,47.6944444444444,18.75,6.69444444444444,5.27777777777778,21.5833333333333,,55.5277777777778,18.6111111111111,21.4722222222222,4.38888888888889,0,,100,0,0,0,0,,0.770762562106255,0.33034188034188,,221,621,821,1061,1361,1581,1901,2261,402,662,882,1262,0,0,1,
13,0.479166666666667,8,19.9222222222222,2,0.116094652033242,0.136184393224104,,0,0,0,,0.648008571428571,0.241321159592222,8,4.37833333333333,2,0.555277777777778,1,0.475218579234969,24.0724859,,0.479166666666667,31.6666666666667,22.6944444444444,4.47222222222222,2.22222222222222,38.9444444444444,,40.3611111111111,26.3055555555556,28.0833333333333,5.25,0,,100,0,0,0,0,,0.819447293185363,0.332037037037037,,341,701,921,1141,1381,1641,1921,2181,222,542,862,1062,0,0,1,
13,0.183055555555556,7,18.8694444444444,2,0.0217228464419476,0.0277932055910395,,0,0,0,,0.529901428571429,0.135226977151326,7,4.07888888888889,2,0.0886111111111111,1,0.178752276867032,24.625285,,0.183055555555556,58.5277777777778,25.4722222222222,7.91666666666667,1.66666666666667,6.41666666666667,,90.6666666666667,2.97222222222222,6.36111111111111,0,0,,100,0,0,0,0,,0.699664743790563,0.314490740740741,,381,721,1121,1461,1741,1941,2221,2501,322,622,1022,1402,0,0,1,
13,0.107777777777778,7,18.4727272727273,1,0.000502584721424469,0.000277700638711469,,0,0.142857142857143,0.0062111801242236,,0.413354285714286,0.112307449897494,7,3.86833333333333,1,0.00194444444444444,0.557377049180328,0.103829690346084,21.9885932,,0.107777777777778,65.6944444444444,30.4166666666667,3.72222222222222,0.166666666666667,0,,96.75,3.05555555555556,0.194444444444444,0,0,,100,0,0,0,0,,0.322961609281598,0.307878787878788,,362,722,1022,1402,1802,2162,2562,2902,321,581,961,1341,0,0,1,
13,0.1175,7,18.7041666666667,1,0.00680599477519593,0.00682217902434509,,0,0.142857142857143,0.00224215246636771,,0.413158952380952,0.12047466863427,7,4.04027777777778,1,0.0275,1,0.113551912568306,24.3028941,,0.1175,66.7222222222222,28.3888888888889,2.41666666666667,1.16666666666667,1.30555555555556,,90.3611111111111,6.88888888888889,2.75,0,0,,100,0,0,0,0,,0.502681312144192,0.311736111111111,,401,661,1021,1321,1541,1921,2281,2521,241,481,741,1021,0,0,1,
