conflicta_min1,conflicta_min2,conflicta_min3,conflicta_min4
0,0,0,
0,0.125,0.00533707865168539,
0,0.111111111111111,0.0126262626262626,
0,0,0,
0,0,0,
0,0.111111111111111,0.0321395775941231,
0,0,0,
0,0,0,
0,0.111111111111111,0.0607734806629833,
0,0,0,
0,0,0,
0,0.125,0.00405236907730673,
0,0.125,0.00295608108108108,
0,0,0,
0,0,0,
0,0,0,
0.1,0.1,0.0999999999999999,
0,0,0,
0,0.125,0.00528541226215645,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0409356725146199,
0,0,0,
0,0,0,
0,0.111111111111111,0.00213675213675214,
0,0,0,
0,0.111111111111111,0.0459224069675375,
0,0.222222222222222,0.00846023688663283,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0.111111111111111,0.111111111111111,0.111111111111111,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0.1,0.1,0.1,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.0120481927710843,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00194931773879142,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0142793395805444,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0648148148148148,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00447427293064877,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.0262755102040816,
0,0,0,
0,0.125,0.0242718446601942,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0780780780780779,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.047111111111111,
0,0.125,0.0145759717314488,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.00557324840764331,
0,0,0,
0,0,0,
0,0.111111111111111,0.0110192837465565,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00290215588723051,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0.1,0.1,0.1,
0,0,0,
0,0.111111111111111,0.00952380952380953,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00762527233115469,
0,0.125,0.00275157232704402,
0,0,0,
0,0.125,0.0691489361702128,
0,0,0,
0,0,0,
0,0.111111111111111,0.0103703703703704,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.1,0.096774193548387,
0,0.125,0.0308333333333333,
0,0,0,
0,0.111111111111111,0.00498575498575499,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0.1,0.1,0.1,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00347222222222222,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0104268491365266,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0321285140562248,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00551615445232467,
0,0.111111111111111,0.00617283950617284,
0,0.111111111111111,0.0158730158730159,
0,0,0,
0,0,0,
0,0,0,
0,0.222222222222222,0.0435897435897435,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.00185381355932203,
0.1,0.2,0.124770642201835,
0,0,0,
0,0,0,
0,0.111111111111111,0.0264550264550265,
0,0.111111111111111,0.0418098510882015,
0,0,0,
0,0.111111111111111,0.0125448028673835,
0,0,0,
0,0,0,
0,0.111111111111111,0.02784670526606,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.00245786516853933,
0,0.111111111111111,0.00625978090766823,
0,0,0,
0,0,0,
0,0.111111111111111,0.0033096926713948,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.0157363420427553,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0.1,0.1,0.0999999999999999,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.00414691943127962,
0,0.222222222222222,0.0734197094621121,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.082304526748971,
0,0,0,
0.111111111111111,0.111111111111111,0.111111111111111,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0641821946169771,
0,0,0,
0,0,0,
0,0.111111111111111,0.00213675213675214,
0,0,0,
0,0.125,0.000943396226415094,
0,0,0,
0,0,0,
0,0.111111111111111,0.00329566854990584,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.00210843373493976,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00508351488743646,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00984528832630099,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0523809523809523,
0,0.111111111111111,0.00676328502415459,
0,0.125,0.00243055555555556,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00676328502415459,
0,0,0,
0,0,0,
0,0.222222222222222,0.00948509485094851,
0,0,0,
0,0.111111111111111,0.0166073546856465,
0,0,0,
0,0.2,0.0954751131221721,
0,0,0,
0,0.125,0.0276349614395887,
0,0,0,
0,0,0,
0,0.111111111111111,0.0042501517911354,
0,0,0,
0,0,0,
0,0.125,0.0106707317073171,
0,0,0,
0,0,0,
0,0,0,
0,0.1,0.0196078431372549,
0,0,0,
0,0.125,0.0369897959183673,
0,0,0,
0,0.125,0.00158898305084746,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0342176086120722,
0,0.111111111111111,0.00480109739368999,
0,0,0,
0,0,0,
0,0,0,
0.1,0.1,0.1,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0258315640481245,
0,0,0,
0,0.111111111111111,0.010233918128655,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0157004830917874,
0,0,0,
0,0,0,
0,0.111111111111111,0.0703484549638394,
0,0,0,
0,0,0,
0,0,0,
0.1,0.1,0.0999999999999999,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00396825396825397,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0442233278054173,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00318761384335155,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00394811054709532,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.0296474358974359,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00381263616557734,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.016548463356974,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.0283385093167702,
0,0.111111111111111,0.0322687957418496,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.1,0.0714285714285714,
0,0.111111111111111,0.0507146150299676,
0,0,0,
0,0,0,
0,0.111111111111111,0.0200617283950617,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.00373931623931624,
0,0,0,
0,0.111111111111111,0.042483660130719,
0,0,0,
0,0,0,
0,0.222222222222222,0.114529914529914,
0,0,0,
0,0.111111111111111,0.00748222970445193,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.0244200244200244,
0,0.111111111111111,0.0091023226616447,
0,0,0,
0,0.111111111111111,0.0265151515151515,
0,0,0,
0,0,0,
0.111111111111111,0.111111111111111,0.111111111111111,
0,0,0,
0,0,0,
0,0.2,0.0259615384615385,
0,0.111111111111111,0.00192996967190516,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0.111111111111111,0.00659804697809449,
0,0,0,
0,0,0,
0,0,0,
0,0.125,0.03689111747851,
0.1,0.1,0.1,
